<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
TRNFP;D;31/08/25;00:00;1316;24461
TRNFP;D;01/09/25;00:00;1319;24539
TRNFP;D;02/09/25;00:00;1313.6;231240
TRNFP;D;03/09/25;00:00;1318.6;362595
TRNFP;D;04/09/25;00:00;1317.2;407245
TRNFP;D;05/09/25;00:00;1327.6;564365
TRNFP;D;06/09/25;00:00;1343.8;556842
TRNFP;D;07/09/25;00:00;1341;20108
TRNFP;D;08/09/25;00:00;1344.8;22458
TRNFP;D;09/09/25;00:00;1344;347693
TRNFP;D;10/09/25;00:00;1328;680510
TRNFP;D;11/09/25;00:00;1314.6;571135
TRNFP;D;12/09/25;00:00;1304;807655
TRNFP;D;13/09/25;00:00;1289.6;764259
TRNFP;D;14/09/25;00:00;1292.4;42210
TRNFP;D;15/09/25;00:00;1294.2;30902
TRNFP;D;16/09/25;00:00;1275.2;589009
TRNFP;D;17/09/25;00:00;1275.6;497979
TRNFP;D;18/09/25;00:00;1263.6;532963
TRNFP;D;19/09/25;00:00;1247.4;455557
TRNFP;D;20/09/25;00:00;1218.2;661546
TRNFP;D;23/09/25;00:00;1261.8;977379
TRNFP;D;24/09/25;00:00;1231.4;669809
TRNFP;D;25/09/25;00:00;1248;401382
TRNFP;D;26/09/25;00:00;1235;275693
TRNFP;D;27/09/25;00:00;1230.8;298035
TRNFP;D;28/09/25;00:00;1229;15611
TRNFP;D;29/09/25;00:00;1230.8;17946
TRNFP;D;30/09/25;00:00;1243.8;1098309
TRNFP;D;01/10/25;00:00;1231.8;621904
TRNFP;D;02/10/25;00:00;1239.8;394501
TRNFP;D;03/10/25;00:00;1230.8;439620
TRNFP;D;04/10/25;00:00;1215.6;463293
TRNFP;D;05/10/25;00:00;1212;80632
TRNFP;D;06/10/25;00:00;1224.8;55121
TRNFP;D;07/10/25;00:00;1253;582420
TRNFP;D;08/10/25;00:00;1272;420457
TRNFP;D;09/10/25;00:00;1243;634943
TRNFP;D;10/10/25;00:00;1242;887695
TRNFP;D;11/10/25;00:00;1229;625041
TRNFP;D;12/10/25;00:00;1227.6;47088
TRNFP;D;13/10/25;00:00;1227;21559
TRNFP;D;14/10/25;00:00;1229.8;626516
TRNFP;D;15/10/25;00:00;1215.6;407674
TRNFP;D;16/10/25;00:00;1228;589946
TRNFP;D;17/10/25;00:00;1292.6;1497813
TRNFP;D;18/10/25;00:00;1289.4;891132
TRNFP;D;19/10/25;00:00;1299.2;115845
TRNFP;D;20/10/25;00:00;1291.8;48016
TRNFP;D;21/10/25;00:00;1296.8;543620
TRNFP;D;22/10/25;00:00;1277.4;1001890
